a,p,q,f,l,T,m,M
1850078897,2977.35000000,0.46600000,3402569099,3402569099,1767243683179,False,True
1850078898,2977.35000000,0.46600000,3402569100,3402569100,1767243683179,False,True
1850078899,2977.35000000,0.46600000,3402569101,3402569101,1767243683180,False,True
1850078900,2977.35000000,0.00170000,3402569102,3402569102,1767243683180,False,True
1850078901,2977.36000000,0.03040000,3402569103,3402569119,1767243683180,False,True
1850078902,2977.37000000,0.43390000,3402569120,3402569122,1767243683180,False,True
1850078903,2977.37000000,0.05910000,3402569123,3402569126,1767243683180,False,True
1850078904,2977.38000000,0.00350000,3402569127,3402569128,1767243683180,False,True
1850078905,2977.39000000,0.00520000,3402569129,3402569131,1767243683180,False,True
1850078906,2977.40000000,0.00380000,3402569132,3402569133,1767243683180,False,True
1850078907,2977.41000000,0.00720000,3402569134,3402569137,1767243683180,False,True
1850078908,2977.42000000,0.08480000,3402569138,3402569142,1767243683180,False,True
1850078909,2977.43000000,0.00180000,3402569143,3402569143,1767243683180,False,True
1850078910,2977.44000000,0.00440000,3402569144,3402569145,1767243683180,False,True
1850078911,2977.47000000,0.00540000,3402569146,3402569148,1767243683180,False,True
1850078912,2977.48000000,0.29080000,3402569149,3402569152,1767243683180,False,True
1850078913,2977.47000000,0.04500000,3402569153,3402569153,1767243683274,True,True
1850078914,2977.48000000,0.00240000,3402569154,3402569155,1767243684067,False,True
1850078915,2977.47000000,0.00690000,3402569156,3402569156,1767243684921,True,True
1850078916,2977.48000000,0.01690000,3402569157,3402569158,1767243686432,False,True
1850078917,2977.47000000,0.16120000,3402569159,3402569159,1767243690724,True,True
1850078918,2977.47000000,3.03080000,3402569160,3402569202,1767243692819,True,True
1850078919,2977.47000000,3.86470000,3402569203,3402569207,1767243692819,True,True
1850078920,2977.47000000,7.77660000,3402569208,3402569238,1767243692820,True,True
1850078921,2977.46000000,0.02520000,3402569239,3402569252,1767243692820,True,True
1850078922,2977.45000000,6.31000000,3402569253,3402569254,1767243692820,True,True
1850078923,2977.45000000,2.37700000,3402569255,3402569257,1767243692820,True,True
1850078924,2977.44000000,0.00520000,3402569258,3402569260,1767243692821,True,True
1850078925,2977.43000000,0.01620000,3402569261,3402569267,1767243692821,True,True
1850078926,2977.42000000,0.00360000,3402569268,3402569269,1767243692821,True,True
1850078927,2977.41000000,0.00720000,3402569270,3402569273,1767243692821,True,True
1850078928,2977.40000000,0.00860000,3402569274,3402569278,1767243692821,True,True
1850078929,2977.39000000,0.00360000,3402569279,3402569280,1767243692821,True,True
1850078930,2977.38000000,0.01950000,3402569281,3402569283,1767243692821,True,True
1850078931,2977.37000000,0.55800000,3402569284,3402569332,1767243692867,True,True
1850078932,2977.36000000,0.01470000,3402569333,3402569340,1767243692924,True,True
1850078933,2977.36000000,0.01470000,3402569341,3402569349,1767243693125,True,True
1850078934,2977.36000000,0.01410000,3402569350,3402569352,1767243693763,True,True
1850078935,2977.37000000,0.00590000,3402569353,3402569353,1767243696132,False,True
1850078936,2977.37000000,0.00200000,3402569354,3402569354,1767243696297,False,True
